Cancelaciones,Frecuencia Absoluta,Probabilidad Empírica,Distribución Acumulada
2,2,0.011111111111111112,0.011111111111111112
3,5,0.027777777777777776,0.03888888888888889
4,9,0.05,0.08888888888888889
5,16,0.08888888888888889,0.17777777777777778
6,25,0.1388888888888889,0.31666666666666665
7,23,0.12777777777777777,0.4444444444444444
8,29,0.16111111111111112,0.6055555555555555
9,28,0.15555555555555556,0.7611111111111111
10,14,0.07777777777777778,0.8388888888888888
11,14,0.07777777777777778,0.9166666666666665
12,8,0.044444444444444446,0.9611111111111109
13,3,0.016666666666666666,0.9777777777777776
14,2,0.011111111111111112,0.9888888888888887
15,2,0.011111111111111112,0.9999999999999998
